Sura_No,Verse_No,Word_No,Word,Segment_Count,Segment_Numbers,Surface_Conflict,Segment_Numbering_Gap,Cut_Separators,Trace_Anchor,Parent_Anchor
0,2,27,مِنَ,1,1,NO,NO,,aslot/axis0/0:2:27,aslot/axis0/0:2:27
0,2,28,الْأَيَّامِ,1,1,NO,NO,,aslot/axis0/0:2:28,aslot/axis0/0:2:28
0,2,29,كَانَ,1,1,NO,NO,,aslot/axis0/0:2:29,aslot/axis0/0:2:29
0,2,30,الْأَمِيرَانِ,1,1,NO,NO,,aslot/axis0/0:2:30,aslot/axis0/0:2:30
0,2,31,يَلْعَبَانِ,1,1,NO,NO,,aslot/axis0/0:2:31,aslot/axis0/0:2:31
0,2,32,مَعَ,1,1,NO,NO,,aslot/axis0/0:2:32,aslot/axis0/0:2:32
0,2,33,أُخْتِهِمَا,1,1,NO,NO,,aslot/axis0/0:2:33,aslot/axis0/0:2:33
0,2,34,الْأَمِيرَةِ,1,1,NO,NO,,aslot/axis0/0:2:34,aslot/axis0/0:2:34
0,2,35,فِي,1,1,NO,NO,,aslot/axis0/0:2:35,aslot/axis0/0:2:35
0,2,36,حَدَائِقِ,1,1,NO,NO,,aslot/axis0/0:2:36,aslot/axis0/0:2:36
0,2,37,الْقَصْرِ,1,1,NO,NO,,aslot/axis0/0:2:37,aslot/axis0/0:2:37
0,2,38,بَعْدَ,1,1,NO,NO,,aslot/axis0/0:2:38,aslot/axis0/0:2:38
0,2,39,خُرُوجِ,1,1,NO,NO,,aslot/axis0/0:2:39,aslot/axis0/0:2:39
0,2,40,الْمَلِكِ,1,1,NO,NO,،,aslot/axis0/0:2:40,aslot/axis0/0:2:40
0,2,41,فَشَوَّقَتْهُمْ,1,1,NO,NO,,aslot/axis0/0:2:41,aslot/axis0/0:2:41
0,2,42,عَمَّتُهُمْ,1,1,NO,NO,,aslot/axis0/0:2:42,aslot/axis0/0:2:42
0,2,43,وَحَبَّبَتْ,1,1,NO,NO,,aslot/axis0/0:2:43,aslot/axis0/0:2:43
0,2,44,إِلَيْهِمُ,1,1,NO,NO,,aslot/axis0/0:2:44,aslot/axis0/0:2:44
0,2,45,الذَّهَابَ,1,1,NO,NO,,aslot/axis0/0:2:45,aslot/axis0/0:2:45
0,2,46,مَعَهَا,1,1,NO,NO,,aslot/axis0/0:2:46,aslot/axis0/0:2:46
0,2,47,إِلَى,1,1,NO,NO,,aslot/axis0/0:2:47,aslot/axis0/0:2:47
0,2,48,الْغَابَةِ,1,1,NO,NO,,aslot/axis0/0:2:48,aslot/axis0/0:2:48
0,2,49,لِلَّعِبِ,1,1,NO,NO,,aslot/axis0/0:2:49,aslot/axis0/0:2:49
0,2,50,فِيهَا,1,1,NO,NO,،,aslot/axis0/0:2:50,aslot/axis0/0:2:50
0,2,51,وَوَعَدَتْهُمْ,1,1,NO,NO,,aslot/axis0/0:2:51,aslot/axis0/0:2:51
0,2,52,أَنْ,1,1,NO,NO,,aslot/axis0/0:2:52,aslot/axis0/0:2:52
0,2,53,تُرِيَهُمْ,1,1,NO,NO,,aslot/axis0/0:2:53,aslot/axis0/0:2:53
0,2,54,أَشْيَاءَ,1,1,NO,NO,,aslot/axis0/0:2:54,aslot/axis0/0:2:54
0,2,55,جَمِيلَةً,1,1,NO,NO,،,aslot/axis0/0:2:55,aslot/axis0/0:2:55
0,2,56,وَأَلْعَابًا,1,1,NO,NO,,aslot/axis0/0:2:56,aslot/axis0/0:2:56
0,2,57,لَذِيذَةً,1,1,NO,NO,,aslot/axis0/0:2:57,aslot/axis0/0:2:57
0,2,58,سَارَّةً,1,1,NO,NO,,aslot/axis0/0:2:58,aslot/axis0/0:2:58
0,2,59,تَحْتَ,1,1,NO,NO,,aslot/axis0/0:2:59,aslot/axis0/0:2:59
0,2,60,الْأِشْجَارِ,1,1,NO,NO,,aslot/axis0/0:2:60,aslot/axis0/0:2:60
0,2,61,هُنَاكَ,1,1,NO,NO,.,aslot/axis0/0:2:61,aslot/axis0/0:2:61
0,2,62,فَصَدَّقَ,1,1,NO,NO,,aslot/axis0/0:2:62,aslot/axis0/0:2:62
0,2,63,الْأَمِيرَانِ,1,1,NO,NO,,aslot/axis0/0:2:63,aslot/axis0/0:2:63
0,2,64,وَالْأَمِيرَةُ,1,1,NO,NO,,aslot/axis0/0:2:64,aslot/axis0/0:2:64
0,2,65,مَا,1,1,NO,NO,,aslot/axis0/0:2:65,aslot/axis0/0:2:65
0,2,66,قَالَتْهُ,1,1,NO,NO,,aslot/axis0/0:2:66,aslot/axis0/0:2:66
0,2,67,عَمَّتُهُمْ,1,1,NO,NO,،,aslot/axis0/0:2:67,aslot/axis0/0:2:67
0,2,68,وَلَمْ,1,1,NO,NO,,aslot/axis0/0:2:68,aslot/axis0/0:2:68
0,2,69,يَعْرِفُوا,1,1,NO,NO,,aslot/axis0/0:2:69,aslot/axis0/0:2:69
0,2,70,مَا,1,1,NO,NO,,aslot/axis0/0:2:70,aslot/axis0/0:2:70
0,2,71,تُخْفِيهِ,1,1,NO,NO,,aslot/axis0/0:2:71,aslot/axis0/0:2:71
0,2,72,عَنْهُمْ,1,1,NO,NO,,aslot/axis0/0:2:72,aslot/axis0/0:2:72
0,2,73,مِنَ,1,1,NO,NO,,aslot/axis0/0:2:73,aslot/axis0/0:2:73
0,2,74,الشَّرِّ,1,1,NO,NO,،,aslot/axis0/0:2:74,aslot/axis0/0:2:74
0,2,75,وَذَهَبُوا,1,1,NO,NO,,aslot/axis0/0:2:75,aslot/axis0/0:2:75
0,2,76,مَعَهَا,1,1,NO,NO,,aslot/axis0/0:2:76,aslot/axis0/0:2:76
0,2,77,لِلَّعِبِ,1,1,NO,NO,,aslot/axis0/0:2:77,aslot/axis0/0:2:77
0,2,78,وَالرِّيَاضَةِ,1,1,NO,NO,,aslot/axis0/0:2:78,aslot/axis0/0:2:78
0,2,79,فِي,1,1,NO,NO,,aslot/axis0/0:2:79,aslot/axis0/0:2:79
0,2,80,الْغَابَةِ,1,1,NO,NO,،,aslot/axis0/0:2:80,aslot/axis0/0:2:80
0,2,81,وَمُشَاهَدَةِ,1,1,NO,NO,,aslot/axis0/0:2:81,aslot/axis0/0:2:81
0,2,82,الْأَشْيَاءِ,1,1,NO,NO,,aslot/axis0/0:2:82,aslot/axis0/0:2:82
0,2,83,الْجَمِيلَةِ,1,1,NO,NO,,aslot/axis0/0:2:83,aslot/axis0/0:2:83
0,2,84,فِيهَا,1,1,NO,NO,،,aslot/axis0/0:2:84,aslot/axis0/0:2:84
0,2,85,وَرُؤْيَةِ,1,1,NO,NO,,aslot/axis0/0:2:85,aslot/axis0/0:2:85
0,2,86,الْأَلْعَابِ,1,1,NO,NO,,aslot/axis0/0:2:86,aslot/axis0/0:2:86
0,2,87,الْغَرِيبَةِ,1,1,NO,NO,,aslot/axis0/0:2:87,aslot/axis0/0:2:87
0,2,88,تَحْتَ,1,1,NO,NO,,aslot/axis0/0:2:88,aslot/axis0/0:2:88
0,2,89,أَشْجَارِهَا,1,1,NO,NO,.,aslot/axis0/0:2:89,aslot/axis0/0:2:89
